 Money ,,,MFR PART NUMBER,Bullcrap,Column 3,Staples #,,MFR PART NUMBER,Ability One Flag,MFR NAME,DESCRIPTION,UPC,Do we like it
,1,,IM12CB017,IM12CB017,CF500A,2758187,CF500A,IM12CB017,N,HP,"HP 202A Original Toner Cartridge, Black, Laser, Standard Yield, 1400 Pages, 1 Pack (CF500A)",190781107002,no
,1,,CF500A,CF500A,CF500A,24421472,CF500A,STCF500A,N,TRU RED,TRU RED™ Remanufactured Black Standard Yield Toner Cartridge Replacement for HP 202A (CF500A),801509389708,yes
,1,,IM1LB1159,IM1LB1159,,364844,,IM1LB1159,N,HP,"HP 951 Cyan Ink Cartridge, Standard Yield",886111609642,no
,1,,CN052AN,CN052AN,,364841,,HEWCN052AN,N,HP,"HP 951 Yellow Ink Cartridge, Standard Yield",886111609666,no
,1,,IM14K9924,IM14K9924,,2140574,,IM14K9924,N,HP,"HP 902XL Black Ink Cartridge, High Yield",,no
,1,,T6M14AN,T6M14AN,T6M14AN,24307157,T6M14AN,STT6M14AN,N,TRU RED,TRU RED™ Remanufactured Black High Yield Ink Cartridge Replacement for HP 902XL (T6M14AN),,yes
,1,,IM1LB1155,IM1LB1155,CN046AN,364831,CN046AN,IM1LB1155,N,HP,"HP 951XL Cyan Ink Cartridge, High Yield (CN046AN)",886111609697,no
,1,,CN046AN,CN046AN,CN046AN,1004270,CN046AN,STCN046AN,N,TRU RED,TRU RED™ HP 951XL (CN046AN) Cyan Remanufactured High Yield Ink Cartridge,718103217965,yes
,1,,TN221C,TN221C,,147219,,BRTTN221C,N,BROTHER,"Brother TN-221C Cyan Toner Cartridge, Standard",12502634843,yes
,1,,TN221C,TN221C,TN-221C,2438079,TN-221C,STTN221C,N,TRU RED,TRU RED™ Brother (TN-221C) Cyan Remanufactured Standard Yield Toner Cartridge,,no
,1,,TN221M,TN221M,,147218,,BRTTN221M,N,BROTHER,"Brother TN-221M Magenta Toner Cartridge, Standard",,no
,1,,TN221M,TN221M,TN-221M,2438078,TN-221M,STTN221M,N,TRU RED,TRU RED™ Brother (TN-221M) Magenta Remanufactured Standard Yield Toner Cartridge,,no
,1,,IM1TH3731,IM1TH3731,,309697,,IM1TH3731,N,HP INC.                            ,HP 130A BLACK,,yes
,1,,IM12CB018,IM12CB018,CF501A,2758178,CF501A,IM12CB018,N,HP,"HP 202A Original Toner Cartridge, Cyan, Laser, Standard Yield, 1300 Pages, 1 Pack (CF501A)",190781107019,no
,1,,IM12CB019,IM12CB019,CF502A,2758180,CF502A,IM12CB019,N,HP,"HP 202A Original Toner Cartridge, Yellow, Laser, Standard Yield, 1300 Pages, 1 Pack (CF502A)",190781107026,no
,1,,IM12CB020,IM12CB020,CF503A,2758188,CF503A,IM12CB020,N,HP,"HP 202A Original Toner Cartridge, Magenta, Laser, Standard Yield, 1300 Pages, 1 Pack (CF503A)",190781107033,no
,1,,IM15KA495,IM15KA495,TN223C,24341847,TN223C,IM15KA495,N,BROTHER,Brother TN-223 Cyan Standard Yield Toner Cartridge (TN223C),12502651024,no
,40,,IM16YE853,IM16YE853,W2110A,24422209,W2110A,IM16YE853,N,HP,"HP 206A Black Toner Cartridge, Standard Yield (W2110A)",193905265053,no
,5,,CB541A,CB541A,CB541A,735291,CB541A,HEWCB541A,N,HP,"HP 125A Cyan Toner Cartridge, Standard (CB541A)",808736839181,no
,10,,CB541A,CB541A,CB541A/1979B001AA,977757,CB541A/1979B001AA,STCB541A,N,TRU RED,TRU RED™ Remanufactured Cyan Standard Yield Toner Cartridge Replacement for HP125A/Canon116 (CB541A/1979B001AA),718103138475,yes
,8,,IM1RV6660,IM1RV6660,6497B001,117169,6497B001,IM1RV6660,N,CANON,Canon PGI-250 Black Standard Yield Ink Cartridge (6497B001),13803151428,no
,5,,IM1YX1153,IM1YX1153,8278B001,223885,8278B001,IM1YX1153,N,CANON,"Canon PG-245XL Black Ink Cartridge, High Yield (8278B001)",13803215519,no
,10,,8280B001,8280B001,8280B001,2796083,8280B001,ST8280B001,N,TRU RED,TRU RED™ Remanufactured Tri-Color High Yield Ink Cartridge Replacement for Canon CL-246XL (8280B001),718103289009,yes
,40,,IM12GH646,IM12GH646,N9K03AN#140,1990400,N9K03AN#140,IM12GH646,N,HP,"HP 65XL Color Combination Ink Cartridge, High Yield (N9K03AN#140)",889894900746,yes
,40,,IM12GH647,IM12GH647,N9K04AN#140,1990396,N9K04AN#140,IM12GH647,N,HP,"HP 65XL Black Ink Cartridge, High Yield (N9K04AN#140)",889894900753,no
,5,,IM14K9920,IM14K9920,T6L98AN,2140571,T6L98AN,IM14K9920,N,HP,HP 902 Black Ink Cartridge (T6L98AN),889894982780,yes
,10,,6514B001,6514B001,6514B001,117163,6514B001,CNM6514B001,N,CANON,"Canon CLI 251 Cyan Ink Cartridge, Standard (6514B001)",13803151442,yes
,50,,2945B001,2945B001,2945B,757275,2945B,CNM2945B001,N,"CANON USA, INC.",44101809,00013803094503,no
,100,,6516B001,6516B001,6516B001,117167,6516B001,CNM6516B001,N,CANON,"Canon CLI-251Y Yellow Ink Cartridge, Standard (6516B001)",13803151619,no
,75,,C8766WN,C8766WN,C8766WN,572430,C8766WN,HEWC8766WN,N,HP,"HP 95 Tri-Color Ink Cartridge, Standard Yield (C8766WN)",829160306629,no
,80,,,,,IVR66WN,,,N,INVERA                        ,"Replacement Ink Jet Cartridges, Tri-Color",686024666660,yes
,65,,IM1DJ1199,IM1DJ1199,CH564WN,863058,CH564WN,IM1DJ1199,N,HP,"HP 61XL Tri-Color Ink Cartridge, High Yield (CH564WN)",884962983638,yes
,3,,IM13A1740,IM13A1740,,1611537,,IM13A1740,N,HP,"HP 63XL Tri-Color Ink Cartridge, High Yield",889296267416,no
,20,,F6U63AN,F6U63AN,F6U63AN,2796081,F6U63AN,STF6U63AN,N,TRU RED,TRU RED™ HP 63XL (F6U63AN) Tricolor Remanufactured High Yield Ink Cartridge,718103289023,yes
,15,,4981C001,4981C001,,24502578,,CNM4981C001,N,CANON,PG-275XL BLACK INK CARTRIDGE,13803339352,no
,1,,5206B001,5206B001,5206B001,1004266,5206B001,ST5206B001,N,TRU RED,TRU RED™ Remanufactured Black High Yield Ink Cartridge Replacement for Canon PG-240 XL (5206B001),718103217101,no
,1,,IM1LH1676,IM1LH1676,5208B001,398493,5208B001,IM1LH1676,N,CANON,"Canon CL-241XL Color Ink Cartridge, High Yield (5208B001)",13803134971,no
,1,,,,,IVR9364WN,,,N,INVERA                        ,"Innovera 9364WN Compatible Reman High-Yield Ink, 588 Page Yield, Black",686024122074,yes
,1,,IM1VZ2594,IM1VZ2594,C2P07AN,1182801,C2P07AN,IM1VZ2594,N,HP,"HP 62XL Color Combination Ink Cartridge, High Yield (C2P07AN)",888182992302,yes
,40,,C2P07AN,C2P07AN,C2P07AN,24458065,C2P07AN,STC2P07AN,N,TRU RED,TRU RED™ Remanufactured Tri-Color High Yield Ink Cartridge Replacement for HP 62XL (C2P07AN),801509403756,no
,5,,IM12CM305,IM12CM305,,2724259,,IM12CM305,N,HP,"HP 64XL Tri-color Original Ink Cartridge, High Yield",190780811993,yes
,10,,3706C001,3706C001,,24498424,,CNM3706C001,N,CANON USA.                         ,CANON PG-260 XL BLACK INK CART,13803319309,yes
,40,,IM13R0610,IM13R0610,L0S49AN#140,2002716,L0S49AN#140,IM13R0610,N,HP,HP 952 Cyan Standard Yield Ink Cartridge (L0S49AN#140),889296858102,no
,5,,IM13R0611,IM13R0611,L0S52AN#140,2002715,L0S52AN#140,IM13R0611,N,HP,HP 952 Magenta Standard Yield Ink Cartridge (L0S52AN#140),,no
,10,,IM13R0612,IM13R0612,L0S55AN#140,2002714,L0S55AN#140,IM13R0612,N,HP,HP 952 Yellow Standard Yield Ink Cartridge (L0S55AN#140),,yes
,50,,LC61Y,LC61Y,LC61YS,739229,LC61YS,BRTLC61Y,N,BROTHER,"Brother LC 61 Yellow Ink Cartridge, Standard (LC61YS)",,yes
,100,,IM16JA876,IM16JA876,3YL65AN#140,24395762,3YL65AN#140,IM16JA876,N,HP,HP 910XL Black High Yield Ink Cartridge (3YL65AN#140),,no
,75,,IM1VZ2600,IM1VZ2600,,1182790,,IM1VZ2600,N,HP,HP 935 XL YELLOW,,yes
,80,,IM1NB1012,IM1NB1012,CN054AN,423881,CN054AN,IM1NB1012,N,HP,HP 933XL Cyan High-Yield Ink Cartridge (CN054AN),,yes
,65,,IM1NB1013,IM1NB1013,CN055AN,423880,CN055AN,IM1NB1013,N,HP,"HP 933XL Magenta Ink Cartridge (CN055AN), High Yield",,no
,3,,CN056AN,CN056AN,CN056AN,423890,CN056AN,HEWCN056AN,N,HP,HP 933XL Yellow High-Yield Ink Cartridge (CN056AN),886111601417,no
,20,,IM14K9921,IM14K9921,T6M02AN#140,2140573,T6M02AN#140,IM14K9921,N,HP,"HP 902XL Cyan Ink Cartridge, High Yield (T6M02AN#140)",889894982797,no
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,